num_nodes,m,heuristic,num_sim,b,bxy,bty,num_exp,max_edge,m_int,m_con,std_int,std_con,seed_size
1000,2,topk,10000,-10,2,5,10,0.05,0.2892,0.30729999999999996,0.11516792956374615,0.09531849768014601,0.05
1000,2,topk,10000,-10,2,5,10,0.1,0.39935,0.4997700000000001,0.12779370289650424,0.10699915934249205,0.05
1000,2,topk,10000,-10,2,5,10,0.333,3.246470000000001,6.489670000000001,1.8453700881124095,2.1697252849381643,0.05
1000,2,topk,10000,-10,2,5,10,1,159.36325,202.63629999999998,45.448965380946795,32.100718790488166,0.05
1000,5,topk,10000,-10,2,5,10,0.05,0.36113999999999996,0.55116,0.1438382786326366,0.15174954497460613,0.05
1000,5,topk,10000,-10,2,5,10,0.1,1.11877,2.8389,0.5844020842707528,1.4597157784993624,0.05
1000,5,topk,10000,-10,2,5,10,0.333,112.01765,125.09642000000004,24.616555412090054,13.127623412468838,0.05
1000,5,topk,10000,-10,2,5,10,1,272.01543,331.81378,76.33024945683133,32.44103874070003,0.05
1000,10,topk,10000,-10,2,5,10,0.05,0.77188,1.6936399999999998,0.1821237590211668,0.38116803433656393,0.05
1000,10,topk,10000,-10,2,5,10,0.1,35.33914,48.838319999999996,20.735133261602154,11.768923692572741,0.05
1000,10,topk,10000,-10,2,5,10,0.333,202.31226,269.20915,45.52800175002632,36.75878533992249,0.05
1000,10,topk,10000,-10,2,5,10,1,362.38643,352.86439,114.14257253366117,28.70837578263355,0.05
1000,20,topk,10000,-10,2,5,10,0.05,33.041419999999995,51.01606,16.941739190460932,14.714206672138326,0.05
1000,20,topk,10000,-10,2,5,10,0.1,143.88155999999998,165.685,60.70956224019738,32.359512118046524,0.05
1000,20,topk,10000,-10,2,5,10,0.333,306.97688,356.19874,84.69890918026987,31.674460965238243,0.05
1000,20,topk,10000,-10,2,5,10,1,440.91772999999995,405.06812,74.40124548057047,33.04138243139355,0.05
5000,2,topk,10000,-10,2,5,10,0.05,1.9734500000000001,2.1102499999999997,0.8002575576025507,0.710444096674749,0.05
5000,2,topk,10000,-10,2,5,10,0.1,2.9275200000000003,3.5652,1.5643612279777326,1.2548610377248945,0.05
5000,2,topk,10000,-10,2,5,10,0.333,85.76621000000002,147.09759,85.11476037185855,57.85497007961286,0.05
5000,2,topk,10000,-10,2,5,10,1,2726.56794,2872.66094,386.3148826050562,158.95717541350686,0.05
5000,5,topk,10000,-10,2,5,10,0.05,1.8227100000000003,3.0952599999999997,0.6397456892390914,0.6506278078901946,0.05
5000,5,topk,10000,-10,2,5,10,0.1,15.615530000000001,34.64089,8.807715803095602,12.874361435539239,0.05
5000,5,topk,10000,-10,2,5,10,0.333,1925.48504,2361.28242,540.1507883868229,217.45182879013814,0.05
5000,5,topk,10000,-10,2,5,10,1,3978.3765,4262.04161,429.1938262937854,75.18107578193379,0.05
5000,10,topk,10000,-10,2,5,10,0.05,16.00138,27.33764,14.025419924822215,21.177359931549542,0.05
5000,10,topk,10000,-10,2,5,10,0.1,605.46792,885.61565,176.87066092996207,106.48149502369179,0.05
5000,10,topk,10000,-10,2,5,10,0.333,3321.17646,3656.24401,457.5907432612556,159.77624051341576,0.05
5000,10,topk,10000,-10,2,5,10,1,4398.4791,4443.74522,332.7276130793748,199.61698925208663,0.05
